Hi.	嗨。
He went to London, where he stayed for a week.	他去了伦敦，并在那儿待了一周。
He went to the post-office to buy some stamps.	他去邮局买些邮票。
He will come to see you on the third of April.	他将于四月三日来看你。
He's always out of sorts early in the morning.	他大清早总是不痛快.
Her charm prejudiced the judges in her favour.	她姿色迷人，因而评委都偏向她。
Her gentleness has given me a deep impression.	她的亲切给我留下了很深的印象。
Her maid helped her to dress up for the party.	她的女仆帮助她穿上参加晚会的礼服。
Her new play has attracted a lot of publicity.	她的新剧作获得广泛宣传.
High forms of animal life; higher mathematics.	动物生态的高级形式；高等数学
His action profaned the honour of his country.	他的行为玷污了国家的荣誉。
His ancestors had come to England as refugees.	他的祖先来到英国的时候是难民.
His article appeared in China Daily yesterday.	他的文章昨天发表于“中国日报”上。
His attack on the government was pure vitriol.	他纯粹出於恶意抨击政府.
His bravery should be an example to all of us.	他的勇敢应作为我们大家学习的榜样.
His example kept the fighters in high spirits.	在他的带动下，战士们斗志昂扬。
His failures did his reputation a lot of harm.	他屡次失败使他的声誉受到很大损害。
His legs were weary, but his mind was at ease.	他的双腿很疲乏，但心情舒畅。
His modesty [air of joviality] was all put on.	他的谦逊[愉快的样子]都是装出来的。
His new film was really panned by the critics.	他新拍摄的电影确实受到评论家严厉的批评。
His quotation from Shakespeare is appropriate.	他引用莎士比亚的话是恰如其分的。
His response was contrary to our expectations.	他的回应出乎我们的意料。
Honesty is the primary reason for his success.	诚实是他成功的主要原因。
Honey can substitute for sugar in this recipe.	在这个食谱中, 可用蜂蜜代替食糖.
How is the sale negotiation going to turn out?	这次销售交涉不知道结果会怎样？
How long did it take you to write this report?	你写这份报告花了多长时间？
How much money I earn is none of your concern.	我挣多少钱与你无关。
How people design computer games is beyond me.	我不明白电脑游戏是怎麽设计的.
Hurry up, and you will be in time for the bus.	快点，你就能准时搭上公交车了。
I also learned the strength of the collective.	我还认识到了集体的力量。
I always confounded him with his twin brother.	我总分不清他和他的孪生兄弟。
I always have to wear a tie because of my job.	因为这份工作的关系，我总是要打领带。
I am going to stay up late to finish my paper.	为了完成报告我打算熬夜不睡。
I am only too pleased to do business with you.	我能和你做生意，太高兴了。
I am out of my depth when it comes to cooking.	提到烹饪，就超过我的所能了
I believe the actions that he took were right.	我相信我们采取的行动是对的。
I can talk about anything with my best friend.	我能跟我最好的朋友说任何事。
I can't concentrate on my work when I'm tired.	我累了就无法集中精力工作。
I can't let you give me your last ten dollars.	我不能让你给我你最后十美圆。
I certainly wouldn't want to be seen with Tom.	我当然不想被人看见跟汤姆在一起。
I didn't get much enjoyment out of that novel.	我并没有从那本小说里得到多少乐趣。
I disputed with my wife on household expenses.	我跟太太争论有关家庭费用的问题。
I don't know if today is Tuesday or Wednesday.	我不知道今天是星期二还是星期三。
I don't think we'd have any chance of winning.	我认为我们没有机会赢。
I don't trust his promise to come for a visit.	我不相信他会如约前来访问。
I don't want there to be any misunderstanding.	我不想有任何误会。
I enjoy singing, much more listening to music.	我喜欢唱歌，更不用说听音乐了。
I fear this work will take up most of my time.	我怕这项工作会占用我大部份的时间。
I feed my cat every morning and every evening.	每天早晚，我给我的猫喂食。
I go to the library two or three times a week.	我一周去图书馆两、三次。
I got up late this morning and missed the bus.	今天早晨我起床晚了，错过了公共汽车。
I had a browse through the books on the shelf.	我浏览了一遍书架上的书。
I had my composition corrected by the teacher.	我把我的作文拿给老师订正。
I have benefited a lot from extensive reading.	广泛的阅读使我受益匪浅。
I have fall behind in my work since last week.	从上周起，我在工作中落后了。
I have only a limited understanding of French.	我只懂得一点法语。
I have something personal to discuss with you.	我有点私事和你商量。
I have to admit to a dislike for modern music.	我得承认, 我不喜欢现代音乐。
I help my mother with the housework every day.	我每天都帮我妈做家务。
I hope the weather will improve before Friday.	我希望星期五之前天气会好转。
I hope you will pay attention to this problem.	希望你对此给予关注。
I met him by chance on the train this morning.	今天早上我在火车上偶遇他。
I met him just as he was coming out of school.	正当他从学校回来的时候，我遇见了他。
I remember my mother teaching me the alphabet.	我记得我母亲教我认字。
I shall give the matter my personal attention.	我将亲自过问此事.
I took her to court for repayment of the debt.	我为索取债务而起诉她.
I want it (to be) done as quickly as possible.	我希望这件事尽快做好.
I was all for calling on each of these ladies.	我尽量去拜访每一位女士。
I was given gas when they pulled my tooth out.	给我拔牙时用了一氧化二氮。
I was out of breath after running for the bus.	我因为追赶公共汽车，弄得上气不接下气。
I was really up the creek when I lost my keys.	我丢掉钥匙之后，真正遇到了麻烦。
I went to the hospital to have my eyes tested.	我到医院去检查了眼睛。
I will never do this under all sorts of names.	我不会以各种各样的名义做这件事。
I wish that we could spend more time together.	我希望我们有更多时间呆在一起。
I would like to retract my previous statement.	我想撤回我之前的陈述。
I wouldn't sully my hands by acceptinga bribe.	我决不接受贿赂, 一尘不染.
I'm considering studying in America next year.	我在考虑明年去美国学习。
I'm looking forward to seeing you next Sunday.	我期待下周日能见到你。
I've kept on thinking about that all the time.	我一直惦记着这件事。
If I had the choice, I would retire at thirty.	假如我有选择的余地, 我三十岁就退休.
If anything should happen, please let me know.	如果发生了什么，请让我知道。
If it happened to Tom, it could happen to you.	如果那发生在Tom身上，也可能会发生在你身上。
If you had three wishes what would you choose?	假设你有三个愿望, 这三个愿望都是什麽呢?
If you persist, you will annoy them even more.	你若固执, 他们就更恼火了.
If you win the bet, the car is yours for love.	你要是赌赢这车就归你了。
In Japan, the new school year begins in April.	日本的新学年在四月开始。
In May, all kinds of plants are in full bloom.	五月里各种植物鲜花盛开。
In dragon boat rowing each person has one oar.	划龙舟时每个人都拿着一枝桨。
In intelligence, the children are about equal.	这些儿童在智力上大致相同.
In the United States, school buses are yellow.	在美国，校车是黄色的。
In years of plenty everyone has plenty to eat.	丰年时人人都吃得饱。
Inflammation of the inner lining of an artery.	动脉内膜炎动脉内层膜的炎症
It is a medium- size samsonite, and it's gray.	它是一个中型的灰色绅耐特皮箱。
It is difficult to breathe at these altitudes.	在这些高的地方很难呼吸.
It is important for old people to stay strong.	老人保持强健很重要。
It is just as well that we did not follow him.	还好我们没有跟着他。
It is like looking for a needle in a haystack.	这好比大海捞针。
It is necessary that he be sent there at once.	有必要马上派他到那里去。
It looks as if she's gone away for a few days.	好像她已出去好几天了。
It was many hours before he came back to life.	数小时后, 他清醒过来。
It was very sharp of you to have noticed that.	你注意到了这一点是够机灵的。
It was very thoughtful of you to send flowers.	你送花来, 想得真周到.
It's an artful little gadget for opening tins.	那是个小巧玲珑的开罐头工具。
It's an era of the miniskirt in the seventies.	七十年代是超短裙时代。
It's difficult to recruit teachers of quality.	要聘请到素质好的老师是很困难的。
It's only the initiative of the investigation.	这仅仅是调查的开始。
J.F. Kennedy was buried in Arlington Cemetery.	约翰甘迺迪被安葬在阿灵顿公墓。
Jazz fusion is a combination of rock and jazz.	融合爵士是摇滚乐与爵士乐的融合。
Just pull the door shut. It'll lock by itself.	只要推门就好了。它自己会锁上的。
Knowledge makes humble, ignorance makes proud.	博学使人谦逊，无知使人骄傲。
Life begins when we realize who we really are.	当我们明白真正的自己时，生活开始了。
Mary saved up pieces of cloth to make a quilt.	玛丽留下几块布准备做一床被子。
Mix flour and liquid to the right consistency.	把面粉和液体混合到适当的浓度.
Modern medicine has increased man's life span.	现代医学延长了人的寿命。
Most Moslem women wear veils in public places.	大多数穆斯林妇女在公共场所都戴着面纱。
Most of Sahara receives almost no rain at all.	撤哈拉大部分地区终年无雨。
Most of our offices are staffed by volunteers.	在我们大多数办公室任职的是志愿人员。
Mt. Fuji as seen from Suruga Bay is beautiful.	从骏河湾看, 富士山很美丽。
My daughter is a child with vivid imagination.	我女儿是一个想象力活跃的孩子。
My friend asked me if I was feeling all right.	我朋友问我是不是觉得还好。
My husband doesn't allow me to paint my nails.	我丈夫不允许我染指甲。
My mother looked at me with tears in her eyes.	我妈妈眼含着泪看我。
Negotiation of the slippery road was not easy.	通过这条很滑的路并不容易。
Neither of those two students passed the test.	两个学生都没通过考试。
Next door to us there's a couple from the USA.	我们隔壁住著来自美国的一对夫妇.
No matter what I do, she says I can do better.	不论我做什么，她都说我能做得更好。
No wonder she's ill. She eats next to nothing.	难怪她病了，她几乎什么都没吃。
Not measuring up to standards or expectations.	不合格的与标准或期望不符合的
Nursing is a vocation as well as a profession.	护理工作既是职业又是救死扶伤的责任。
Occurring first in time or sequence; earliest.	最早的在时间和次序上首次出现的；最早的
One of the principal divisions of a long poem.	诗章一首长诗的主要部分之一
One who gathers, cultivates, or sells oysters.	采牡蛎者捉、养殖或专卖牡蛎的人
One who pulls wires or strings, as of puppets.	幕后牵线者如木偶戏中牵金属线或棉线的人
Only then did he realize he had been deceived.	直到那时，他才意识到他已经上当受骗。
Our business is a joint/shared responsibility.	我们的公司实行共同责任制.
Our class presented the school with a picture.	我们班向学校赠送了一幅画。
Our company employed about one hundred people.	我们公司雇佣了大约一百人。
Pandas are loved by people all over the world.	熊猫被全世界的人们喜爱。
People were all shocked at her godlike beauty.	所有的人都震惊于她天仙般的美貌。
Please rest assured that repayment is ensured.	请您放心，还款是有保障的。
Police were called in to break up the meeting.	出动了警察将集会驱散.
Portable telephones are very popular nowadays.	现今，移动电话非常普及。
Reconstruction of that building is impossible.	再重建这座建筑物是不可能的。
Relating to or having the nature of a triumph.	胜利的，凯旋的关于胜利的或有胜利的性质的
Respect for law is fundamental to our society.	尊重法律是我们社会的基础。
Rex soon became an expert at opening the gate.	Rex很快就成了一个开门能手了。
Robots are replacing people on assembly lines.	机器人逐渐代替了装配线上的工人.
Rub the cream on your skin and let it sink in.	把这种软膏搽在皮肤上，让它渗进去。
Russia is facing great financial difficulties.	俄罗斯面临着严重的财政困难。
Scattered showers are expected this afternoon.	预料今天下午有零星阵雨。
School was closed for the day due to the snow.	学校因大雪停课一天。
She can speak not only German but also French.	她不只能说德国话也能说法国话。
She complained of the wrongs she had suffered.	她投诉说她受到委屈.
She does not care whether you like her or not.	她不在乎你是否喜欢她。
She found a lot of dust underneath the carpet.	她发觉地毯下面有许多尘土.
She gave the floor a vigorous sponge all over.	她用海绵把地板 使劲儿擦了一遍.
She had to be dragged into seeing the dentist.	要她去牙科医生那里看病非得生拉硬拽不可.
She has signed her house over to her daughter.	她已签字把房子转让给女儿了.
She held her head erect and her back straight.	她昂着头，把背挺得笔直。
She hit her knee against the angle of the bed.	她的膝盖撞到床角上了.
She inadvertently telephoned the wrong person.	她无意中打错了电话.
She is enamored of the sound of her own voice.	她陶醉于自己的嗓音。
She is proud that her son has become a doctor.	她为自己的儿子成为医生而自豪。
She is taking French as an elective next year.	她明年选修法语.
She knows why the metal is the good conductor.	她知道金属为什么是好的导体。
She laid her dress on the bed to keep it neat.	她把连衣裙放在床上以保持平整。
She lingered on the thought of her loved ones.	她缠绵地思念着心爱的人儿。
She loved me in the same way that I loved her.	她爱我就像我爱她一样。
She made elaborate preparations for the party.	她精心筹备了这个派对。
She plumped out the truth at the oddest times.	她在最不合适的时候讲出了实话。
She prescribed some pills to help me to sleep.	她让我吃些药片以利睡眠.
She protested strongly at being called a snob.	她极力反对别人说她势利眼.
She pulled the van to the left to avoid a dog.	她把客货车向左一闪以免轧著狗。
She put a thimble over the finger when sewing.	缝纫时，她在手上戴一枚顶针。
She put some noodles in the aluminum saucepan.	她在铝锅里下了些面条。
She sat in the corner, watching my every move.	她坐在角落里注视著我的一举一动.
She spends a lot of time practicing the piano.	她花很多时间练钢琴。
She stretched across the table for the butter.	她探身去取放在餐桌对面的黄油。
She was quite adamant that she would not come.	她坚决不来。
She was sent abroad on a difficult assignment.	她被派出国执行一项艰巨任务.
She was so kind as to phone for a taxi for me.	她很热心, 为我打电话叫了计程车.
She welshed on (the bargain she made with) us.	她与我们洽谈成交後又翻悔了.
She won her overnight fame by her first novel.	她的第一部小说一问世，便使她一举成名。
She wore a single orchid on her evening dress.	她在晚礼服上缀著一朵兰花.
She wrote to her parents at least once a week.	他给父母写信至少一周一次。
She's a dead ringer for a girl I used to know.	她酷似以前我认识的一个女孩。
She's always preaching the value of fresh air.	她一直在鼓吹新鲜空气的好处。
She's always to the fore at moments of crisis.	她在危急关头总是挺身而出.
She's knocking herself out with all that work.	她做的工作把她累得筋疲力尽.
Showing neither fear nor indecision; resolute.	不畏缩的；坚定的表示既不害怕也不犹豫的；坚决的
Slight inattention can cause a great disaster.	失之毫厘，谬之千里。
Soldiers are trained to obey without question.	士兵已训练得绝对服从命令.
Some insects deposit their eggs on the ground.	有些昆虫把卵产在地上.
Some of the enamel on this pan is chipped off.	这平底锅上的搪瓷有些已脱落.
Some splinters of glass had got into his feet.	他的脚上扎了一些碎玻璃屑。
Something exceptionally exciting or wonderful.	极好的某种东西出奇地好或奇妙的
Spain used to be famous for its strong armada.	西班牙曾以其强大的舰队而著称.
Summon the pupils together in the school hall.	把学生召集到学校的礼堂里.
That can't be Mary. She's in the hospital now.	那不可能是玛丽，她现在在医院。
That was the first time I'd seen Tom so angry.	那是我第一次见到汤姆如此生气。
That's what I've learnt from the local cadres.	这是我从当地干部那里了解到的情况。
The Queen is making a private visit to Canada.	女王正对加拿大进行私人访问.
The accident happened on Sunday at about 3:00.	此事故发生在周日3点左右。
The act or process of breaking into fragments.	破碎打碎成碎片的动作或过程
The act or process of revealing or uncovering.	揭露，泄露；公开揭露或揭发的行为或过程
The agreement is a compromise, not a sell-out.	这个协议是双方妥协的产物而不是一方让步.
The annals of the society have been published.	社会年刊已经出版了。
The archers sent their shafts through the air.	弓箭手向空中射出利箭。
The audience rose bodily to cheer the speaker.	听众全体起立向演讲者欢呼.
The band played the performers onto the stage.	乐队奏乐欢迎演员登台.
The barometer is falling. It is going to rain.	气压计下降了 - 要下雨了。
The barren hills are crowned with fruit trees.	原先那片荒山如今已是果树成荫。
The black telephone costs more than the white.	黑的电话比白的花钱多。
The block is still just a skeleton of girders.	这片建筑还只是仅有主梁的骨架.
The bolt sheared (off) and the wheel came off.	螺栓折了, 轮子脱了出来.
The bombing raid practically leveled the town.	空袭几乎把这座城镇夷为平地。
The boss agreed to meet the strikers half way.	老板同意向罢工者做出让步。
The boy can't figure out the algebra problems.	这个男孩做不出这道代数题。
The boys have decided to go camping next week.	男孩子们已决定下个星期去露营。
The burglars had entered the house by stealth.	窃贼偷偷进入那所房子。
The candidates exchanged shafts in the debate.	候选人在辩论中唇枪舌箭。
The ceremony was something like a christening.	那个典礼有点像洗礼仪式.
The charge for a front row seats is 5 dollars.	第一排的座位5美元。
The child pressed her nose against the window.	那小女孩把鼻子贴在窗户上。
The city library was inaugurated by the mayor.	市长主持了市图书馆的落成仪式。
The comedian tickled the crowd with his jokes.	那个喜剧演员讲的笑话把人们都逗笑了。
The curtains were flapping at the open window.	窗帘在敞开的窗户前摆动。
The dampness of the climate decayed the books.	气候潮湿，把书都霉坏了。
The doctor told me to cut out meat for my fat.	由于肥胖, 大夫叫我停止吃肉。
The dust on the shelf show up in the sunlight.	在阳光照射下能看见架子上有灰尘。
The edge must be machined to 0.02 millimeters.	这边缘必须切割到0.02毫米的精密度。
The enterprise is an applicant of this credit.	这家企业是信用证的申请者。
The fact is that he didn't even take the exam.	实际上他根本没有去考试。
The farmer paid 3 laborers to gather the crop.	农场主雇佣3名工人收割庄稼。
The field includes three world record holders.	参赛者中包括三名世界记录保持者。
The gauze patch applied to his wound is dirty.	裹在他伤口上的纱布脏了。
The general was girded with the supreme power.	将军被授予最高权力。
The girl stacked the blocks with deliberation.	这个女孩从容地把砖堆砌起来
The hearers increased quickly as time went on.	随着时间的推移，听众越来越多了。
The hotel is neither spacious nor comfortable.	这旅馆既不宽敞也不舒服.
The journey takes about an hour, door to door.	从这家到那家的路程要用一小时。
The jury is/are about to announce the winners.	评委会即将宣布优胜者.
The least noise would startle the timid child.	最小的响声也会吓着这个胆小的孩子的。
The lighthouse flashes signals twice a minute.	灯塔每一分钟发出两次信号。
The living room furniture was modern in style.	卧室的家具是现代风格。
The lorry overtook me and then cut in (on me).	那辆卡车超越我的车後, 突然插入我前方的位置.
The magician conjured a rabbit out of his hat.	魔术师从他的帽子里变出一只兔子。
The man in the street is opposed to this idea.	老百姓反对这种想法.
The men at the party were mostly fairly young.	参加聚会的男子大都非常年轻。
The metal frame tends to twist under pressure.	这种金属框受压後容易变形。
The metal has corroded (away) because of rust.	该金属已锈蚀.
The mice have nibbled away part of the cheese.	老鼠把一部分干酪啃吃了。
The microscope magnified the object 100 times.	这台显微镜将物体放大了100倍。
The milk is warmed in a saucepan on the stove.	牛奶放在炉灶上的锅里热着。
The more books you read, the more you'll know.	你看的书越多，你知道的越多。
The new car was the pride of the whole family.	新汽车是全家人引以自豪之物.
The new model delivers speed and fuel economy.	这种新型设计能提高速度、 节约燃料.
The news of defeat cast a gloom over the town.	战败的消息给小城蒙上了一层忧郁。
The news was blazed all over the daily papers.	所有日报都刊登了这条消息.
The noisy youths were ejected from the cinema.	吵闹的年青人都已从影院被逐出去了。
The novelty of his surroundings soon wore off.	他对环境的新奇感不久就淡薄了。
The nurse took a sample of my blood for tests.	护士抽了我的血样去化验。
The old man attempted to swim five kilometers.	老人试图游5公里。
The original picture is in the British Museum.	这幅画的原作在大英博物馆内。
The participants were for the most part women.	参与者大部分是女性。
The party has been put off until next Tuesday.	聚会已经推迟到了下周二。
The pavement was covered with dogs' excrement.	便道上满是狗屎。
The peasants are getting in the crops happily.	农民们在愉快地收割庄稼。
The peasants are harvesting rice in the field.	农民们正在田野里收割稻子。
The pith of that theory is serving for people.	那个理论的精髓是为人民服务。
The plane taxied/was taxiing along the runway.	飞机在跑道上滑行.
The plumber made a careful check of the pipes.	管子工对管道做了仔细的检查。
The police appealed to the crowd not to panic.	警方向群众呼吁不要惊慌.
The potato was so hot that it burned my mouth.	土豆太热，以至于烫到了我的嘴。
The projection on the picture is our building.	那张照片上的突出物是我们的大楼。
The punch in the stomach completely winded me.	我肚子上挨了一拳一时完全喘不过气来.
The punishment inflicted on them was too mild.	他们受的惩罚太轻。
The queen was crowned in traditional ceremony.	女王以传统仪式举行了加冕礼。
The red flag indicated the presence of danger.	红旗代表存在危险。
The refuse left when coke or charcoal is made.	焦炭渣，煤屑焦炭或木炭做成后剩下的渣滓
The regime had been propped up by foreign aid.	该政权是靠外国援助维持著的.
The restaurant is open every day except Monday	这家饭店除星期一外, 每天都营业.
The rich man left his son nothing in the will.	那位富翁在遗嘱中什么都没给他儿子留下。
The rights of the people are protected by law.	人们的权益是受法律保护的。
The riot led to the arrest of three young men.	暴乱导致3 个年轻人被捕。
The rise in prices was a signal for rebellion.	物价上涨引起了叛乱。
The robbers escaped before the police arrived.	强盗们在警察到来之前逃走了。
The rows of houses were uniform in appearance.	这一排排的房屋外表都是一样的。
The rumours of an attack were later confirmed.	发动攻击的谣传後来得到了证实.
The scandal dished his hopes of being elected.	这丑闻使他当选的希望破灭了.
The scientific study and cultivation of fruit.	果树栽培学对果树的科学研究和栽培
The scientist needs some delicate instruments.	这位科学家需要一些精密的仪器。
The scientists are in search of a new element.	科学家们正在寻找一种新元素。
The sky and the sea make a harmonious picture.	天空和大海构成了一幅和谐的画面。
The sojourner has been in Wales for two weeks.	那个寄居者在威尔士已经逗留了两个星期。
The soldier saw a gun jutting out from a bush.	那士兵看见一支枪从矮树丛伸出来。
The soldiers got fired into at close quarters.	士兵们遭到近距离的火力射击。
The spear descends from the Jiangxi-base days.	这杆梭镖是江西根据地时代传下来的。
The stillness was rent by thunderous applause.	雷鸣般的掌声打破了寂静。
The story took place in a serene summer night.	故事发生在一个宁静的夏夜。
The taste of success may become habit-forming.	成功的滋味能让人对之形成习惯
The teacher sets high standard for his pupils.	这位老师给他的学生们定下高标准。
The terrible scene was engraved on his memory.	那可怕的情景铭记在他的记忆里。
The terrorists escaped across/over the border.	恐怖分子越过边境逃走了.
The top drawer is the one with the cutlery in.	最上面的抽屉是放刀叉的。
The train arrived on the dot of three o'clock.	那辆火车三点钟准时到达。
The traitor divulged secret plan to the enemy.	那卖国贼走漏秘密计划给敌人。
The vast plains stretch for hundreds of miles.	辽阔的平原绵延数百英里。
The village was swept away when the dam burst.	村庄在水坝决堤时被冲走了。
The wind whistled through a crack in the door.	风从门的裂缝中呼呼地刮了进来。
The wiring is faulty and needs to be replaced.	线路上有短路需要换线.
The young man put out his hand and I shook it.	年轻人伸出他的手，接着我和他握了手。
Their traditional life style no longer exists.	他们传统的生活方式不再存在。
There are a lot of people visiting the museum.	参观博物馆人们络绎不绝。
There are much obscene languages in this book.	这本书中有很多淫秽的语言。
There is a big supermarket in my neighborhood.	在我的邻近区域有一个大超市。
There is a bolster across the head of the bed.	床头上有一个长枕垫。
There is no clue to the identity of the thief.	没有确定窃贼身分的线索.
There is no scientific basis for these claims.	这些主张没有科学的根据。
There is not a vestige of truth in the report.	该报告毫无真实性。
There was a descent of temperature after rain.	雨后气温下降了。
There was a long lag in forwarding mail to us.	转寄给我们的邮件晚了很久才拿到。
There was an air of excitement at the meeting.	开会时气氛显得有些兴奋。
There were so many things I wanted to ask Tom.	我有很多事想问汤姆。
These pills will relax you and make you sleep.	这些药丸有镇静催眠作用.
These voyagers lost their way after the storm.	暴风雨过后，航行者们迷失了方向。
They accepted responsibility for the accident.	他们承认了对这次事故所负的责任。
They both cried after hearing the tragic news.	听到这件悲剧，他俩尽皆哭泣。
They charge a fixed rate for each transaction.	他们对办理的每项业务收取一定的费用。
They climbed up the mountain through a defile.	他们通过一条小路爬到山上。
They dunked her in the swimming-pool as a joke	他们跟她开玩笑, 把她往游泳池里浸了一下.
They gave the Prime Minister a cool reception.	他们很冷淡地接待了这位首相.
They had little desire for wealth/to get rich.	他们对财富[致富]无大欲望.
They have begun to do the prevention of crime.	他们已经开始防止犯罪行为。
They have committed treason against the state.	他们已犯了叛国罪。
They have increased the price of petrol again.	他们又提高了汽油的价格。
They have to make a protestation of that news.	他们不得不为了那条消息作出声明。
They lulled me into a false sense of security.	他们哄骗我，让我产生了一种虚假的安全感。
They opened the parcel with whoops of delight.	他们打开包裹, 高兴地叫喊起来.
They share the housework equally between them.	他们平等分担家务.
They took up arms in defence of their country.	他们拿起武器保卫祖国。
They will grumble about having to do the work.	他们将为不得不干那项工作而抱怨。
They would capture as many people as possible.	他们会尽可能地抓更多的人。
This Scottish plant was a gift from my cousin.	这棵苏格兰植物是我的一个表亲给我的礼物。
This TV program seems to be very entertaining.	这个电视节目看起来很好玩。
This card just fits nicely into that envelope.	这张卡片正好能装进那个信封里.
This flight is routed to Chicago via New York.	这班机是经纽约飞往芝加哥的.
This is Chinese - I don't understand anything.	这是中文－－我一点儿都不懂。
This is not an issue of the utmost importance.	这不是一个很重要的问题。
This is the house I lived in when I was young.	这是我年轻时候住的房子。
This is the last attempt (that) he would make.	这是他最不可能做的尝试。
This is the man who's suspected by the police.	这是被警察认为有嫌疑的男子。
This kind of architectural style depresses me.	这种建筑风格让我感到很压抑。
This meal is my treat, so put your money away.	这顿饭我请客，你把钱收起来吧。
This mountain is 1,400 meters above sea level.	这座山海拔1,400米。
This news program only covers external events.	这一新闻节目只报道国外消息。
This note is counterfeit, but that one's good.	这张钞票是假的, 那张是真的.
This plan will be very expensive to carry out.	这计划执行起来花销会很大。
This village is as beautiful as the fairyland.	这个小村庄美如仙境。
This wet ground is not firm enough to walk on.	这块湿地不够坚实, 不能在上面走.
This work will hardly stand close examination.	这种作品很难经得起认真的检验。
Thousands of people wanted to know the answer.	成千上万的人想要知道答案。
To all appearance, Mr. Li is going to migrate.	李先生显然是要移民了。
To my surprise, he easily came up with a plan.	令我吃惊的是，他很容易就想出了一个方案。
To tell the truth, I don't agree to your plan.	老实讲，我不同意你的计划。
Tom made up his mind to become a newspaperman.	汤姆决定做报业人士。
Tom opened the shoebox and took out the shoes.	汤姆打开鞋柜拿出鞋。
Tom probably knows how to get to Mary's house.	汤姆大概知道要怎么去玛莉家吧。
Tom should've already discussed that with you.	汤姆应该已经跟你讨论过那事了。
Tom studied hard so he could get into college.	汤姆努力学习以进入大学。
Tom thinks I'm missing this great opportunity.	汤姆认为我失去了这绝佳机会。
Tom told me that he'd like to become a doctor.	汤姆告诉我他想当医生。
Tom wondered why there was a dog in his house.	汤姆奇怪为什么他的房子里有只狗。
Try to recall (to mind) exactly what happened.	把发生的事情尽可能仔细地回忆一下.
UK is the abbreviation for the United Kingdom.	UK是英国的缩写。
Volleyball is a sport of which I am very fond.	排球是我很喜欢的运动。
Volumes of black smoke poured fromthe chimney.	烟囱里冒出来团团黑烟.
We are working in conjunction with the police.	我们与警方配合进行工作.
We find our folding table a great convenience.	我们发现可折叠的桌子使用非常方便。
We had a mouldy holiday - it rained every day.	我们的假日过得好无聊，每天都下雨。
We have the authority to search this building.	我们有权搜查这座建筑物.
We have to tow that car to the nearest garage.	我们不得不把汽车拖到最近的修车厂。
We haven't finished eating the watermelon yet.	我们还没吃完这个西瓜。
We heard the thunder growling in the distance.	我们听见远处隆隆的雷声。
We hope to make great profit in the long term.	我们希望长期获利。
We lit the candle and the candle lit the room.	我们点燃了蜡烛，蜡烛照亮了房间。
We managed to achieve a kind of modus vivendi.	我们设法达成了某种临时的妥协.
We must apply our minds to finding a solution.	我们要动动脑筋找出解决的办法来.
We saw him watering the lawn around the house.	我们看见他在为屋子四周的草坪浇水。
We suffered some serious (financial) reverses.	我们（在财务上）受到一些严重挫折.
We were graced with the presence of the Queen.	女王光临，我们感到不胜荣幸。
We will go on a picnic if it is fine tomorrow.	如果明天天气好，那么我们就去野餐。
Wet weather is a feature of life in this area.	天气潮湿是这个地区生活的一个特色。
What Tom said doesn't apply in this situation.	汤姆所言不符时局。
What a lonely world it would be with you away!	你要是不在，这世界不知将有多寂寞！
What a realistic looking apple in the picture!	画中的苹果显得多逼真啊！
What makes you think I won't be able to do it?	你怎么认为我做不了？
What's the going rate of computer programmers?	计算机程序设计人员的一般工资是多少？
When she was thirteen, she ran away from home.	她十三岁的时候离家出走了。
Where did you get the money to buy that dress?	你从哪儿弄来的钱去买那件衣服？
Where is the United Airlines check-in counter?	联合航空公司办理登机手续的柜台在哪里？
Where's the file of our recent correspondence?	我们近期的信件卷宗在哪里?
Which is the most interesting subject for you?	哪个科目对你来说最有趣？
Whisky contains a large percentage of alcohol.	威士忌所含酒精的百分比很高.
Will Spurs be relegated to the third division?	斯珀尔斯队会降为丙级队吗?
Will you pick me up at seven tomorrow morning?	你明早7点来接我吗？
Would you announce the guests as they come in?	客人来时你通报一声好吗?
Write your name and address on this pink slip.	在这张粉红色纸条上写下你的姓名和地址。
You and I belong to different political camps.	你和我属于不同的政治阵营。
You are invited to view our autumn collection.	您被邀请参观我们的秋季时装展览。
You have deliberately acted against my wishes.	你故意和我的想法对著干.
You make mistakes if you do things in a hurry.	如果你匆匆忙忙地做事，那你就要出差错。
You must not despise a man because he is poor.	你不可因一个人贫穷而轻视他。
You need to have friends who can help you out.	你需要可以帮助你的朋友。
You should pay more attention to his warnings.	你应该多注意他的警告。
You should read many books when you are young.	应该趁年轻多读点书。
You should take more pride in your appearance.	你应该多注意一点仪表.
You'd better wear a sweater under your jacket.	您最好在外衣里穿一件套衫。
`Oh!', `Look out!' and `Ow!' are exclamations.	｀啊!＇、 ｀小心!＇、 ｀哎哟!＇都是感叹词语.
A cafeteria is a self-service style restaurant.	自助餐厅是一种自助式的餐厅。
A concise, clever, often paradoxical statement.	隽语一个简明，机智，常常似是而非的陈述
A deep faith underlies her work among refugees.	她在难民中工作是因为她有很深的信念.
A filthy, disgusting, or morally corrupt place.	藏污纳垢的地方肮脏的、令人恶心或道德败坏的场所
A fire broke out in my neighborhood last night.	昨晚我领居家着火了。
A friend of mine came to see me during the day.	我的一个朋友在白天的时候来看我。
A jeep is ideal for driving over rough terrain.	吉普车很适合在高低不平的路面上行驶.
A lamp was suspended from the ceiling above us.	我们头顶上的天花板上吊著一盏灯.
